Ngày,Đóng cửa,Mở cửa,Cao nhất,Thấp nhất,KL,% Thay đổi
15/11/2022,"75,647.40","77,612.30","78,005.30","75,156.20",2.09M,-2.53%
14/11/2022,"77,612.30","76,629.90","80,559.60","74,763.20",2.60M,0.77%
11/11/2022,"77,022.80","77,514.00","78,987.70","77,022.80",1.56M,0.00%
10/11/2022,"77,022.80","79,478.90","79,577.20","75,647.40",2.64M,-3.09%
9/11/2022,"79,478.90","80,559.60","80,756.10","78,594.70",2.70M,-1.82%
8/11/2022,"80,952.60","80,756.10","80,952.60","78,201.70",2.30M,0.24%
7/11/2022,"80,756.10","78,693.00","80,756.10","78,594.70",2.64M,2.75%
4/11/2022,"78,594.70","78,496.50","79,577.20","76,629.90",2.91M,0.00%
3/11/2022,"78,594.70","76,629.90","79,282.40","76,629.90",1.28M,2.17%
2/11/2022,"76,924.60","78,791.20","78,889.50","76,924.60",1.83M,-2.37%
1/11/2022,"78,791.20","77,121.10","81,050.80","77,121.10",3.18M,2.17%
31/10/2022,"77,121.10","76,335.10","77,121.10","75,942.10",1.57M,0.64%
28/10/2022,"76,629.90","77,121.10","77,219.30","76,335.10",1.44M,-0.64%
27/10/2022,"77,121.10","74,665.00","77,121.10","74,665.00",2.28M,3.29%
26/10/2022,"74,665.00","74,665.00","75,058.00","74,272.00",824.70K,0.00%
25/10/2022,"74,665.00","72,798.40","75,450.90","72,798.40",1.66M,2.70%
24/10/2022,"72,700.10","75,843.90","75,843.90","72,700.10",1.58M,-3.90%
21/10/2022,"75,647.40","76,138.60","77,022.80","75,156.20",2.10M,-0.65%
20/10/2022,"76,138.60","75,254.40","76,138.60","74,468.50",2.29M,1.17%
19/10/2022,"75,254.40","74,763.20","75,450.90","74,763.20",1.04M,0.13%
18/10/2022,"75,156.20","73,682.60","75,647.40","73,387.80",3.14M,3.24%
17/10/2022,"72,798.40","72,503.60","73,780.80","72,405.40",1.68M,0.14%
14/10/2022,"72,700.10","72,700.10","73,191.30","72,405.40",1.44M,0.27%
13/10/2022,"72,503.60","69,752.80","72,503.60","69,556.30",3.17M,3.07%
12/10/2022,"70,342.30","69,261.60","70,440.50","68,868.60",1.27M,1.99%
11/10/2022,"68,966.90","69,261.60","70,244.00","68,377.40",1.72M,-0.43%
10/10/2022,"69,261.60","67,296.70","70,244.00","66,216.10",1.66M,1.00%
7/10/2022,"68,573.90","68,082.70","70,047.50","65,331.90",2.69M,-0.29%
6/10/2022,"68,770.40","70,047.50","70,145.80","68,770.40",1.50M,-2.23%
5/10/2022,"70,342.30","69,752.80","70,735.20","69,752.80",1.49M,0.99%
4/10/2022,"69,654.60","70,538.80","70,538.80","68,770.40",1.63M,-0.14%
3/10/2022,"69,752.80","70,637.00","71,226.50","69,752.80",2.04M,-1.80%
30/09/2022,"71,030.00","70,637.00","72,012.40","70,637.00",2.35M,-0.55%
29/09/2022,"71,423.00","71,619.40","72,208.90","70,931.70",2.03M,1.25%
28/09/2022,"70,538.80","70,735.20","71,717.70","69,654.60",2.15M,-0.83%
27/09/2022,"71,128.20","73,191.30","73,584.30","71,030.00",2.42M,-2.16%
26/09/2022,"72,700.10","74,468.50","74,861.50","72,405.40",3.39M,-3.52%
23/09/2022,"75,352.70","75,647.40","75,942.10","75,156.20",1.40M,-0.26%
22/09/2022,"75,549.20","75,254.40","75,745.70","74,665.00",1.03M,0.00%
21/09/2022,"75,549.20","74,370.30","76,236.90","74,272.00",2.48M,1.45%
20/09/2022,"74,468.50","73,977.30","74,861.50","73,977.30",1.14M,0.80%
19/09/2022,"73,879.00","74,272.00","74,370.30","73,584.30",1.42M,-1.05%
